Rate Type,Zone Name,Service Level,Price Micro,Price Quarter,Price Half,Price Half Plus,Price Full 1,Price Full 2,Price Full 3,Price Full 4,Price Full 5,Price Full 6,Price Full 7,Price Full 8,Price Full 9,Price Full 10
Standard,1,A,24.86,27.15,31.09,33.00,36.47,35.83,35.19,34.55,33.91,33.27,32.63,31.99,31.35,30.70
Standard,2,A,46.23,48.51,52.45,54.37,57.83,57.19,56.55,55.91,55.27,54.63,53.99,53.35,52.71,52.07
Standard,3,A,47.25,49.65,53.58,55.50,58.96,58.32,57.68,57.04,56.40,55.76,55.12,54.48,53.84,53.20
Standard,4,A,49.17,51.78,55.69,57.61,61.07,60.43,59.79,59.15,58.51,57.87,57.23,56.59,55.95,55.31
Standard,5,A,50.09,52.81,56.83,58.76,62.21,61.57,60.93,60.29,59.65,59.01,58.37,57.73,57.09,56.45
Standard,6,A,52.68,55.69,61.33,63.25,66.97,66.33,65.69,65.05,64.40,63.76,63.12,62.48,61.84,61.20
Standard,7,A,56.23,59.63,63.83,65.75,69.44,68.80,68.16,67.52,66.88,66.24,65.60,64.96,64.31,63.67
Standard,8,A,57.94,61.53,65.72,67.63,71.30,70.66,70.02,69.38,68.74,68.10,67.46,66.82,66.18,65.53
Standard,9,A,59.55,63.32,67.49,70.06,73.75,73.11,72.46,71.82,71.18,70.54,69.90,69.26,68.62,67.98
Standard,10,A,62.39,66.47,70.61,72.53,76.15,75.51,74.87,74.22,73.58,72.94,72.30,71.66,71.02,70.38
Standard,11,A,63.79,68.03,74.89,79.38,84.50,83.86,83.22,82.58,81.94,81.30,80.66,80.02,79.38,78.74
Standard,12,A,66.67,71.22,79.19,83.04,86.44,85.80,85.16,84.52,83.88,83.23,82.59,81.95,81.31,80.67
Standard,13,A,67.40,72.05,80.02,83.23,87.26,86.62,85.98,85.34,84.70,84.06,83.41,82.77,82.13,81.49
Standard,14,A,67.69,72.37,80.07,85.19,88.41,87.77,87.13,86.49,85.85,85.21,84.57,83.93,83.29,82.65
Standard,15,A,71.70,76.81,89.63,97.97,104.14,103.50,102.86,102.22,101.58,100.94,100.29,99.65,99.01,98.37
Standard,20,A,61.61,65.61,69.41,71.33,74.74,74.10,73.46,72.81,72.17,71.53,70.89,70.25,69.61,68.97
Standard,21,A,66.93,71.52,74.92,76.84,79.98,79.34,78.70,78.06,77.42,76.78,76.13,75.49,74.85,74.21
Standard,22,A,69.39,74.25,78.36,80.29,82.48,81.84,81.20,80.56,79.92,79.27,78.63,77.99,77.35,76.71
Standard,23,A,79.89,82.75,85.66,87.58,88.57,87.93,87.29,86.64,86.00,85.36,84.72,84.08,83.44,82.80
Standard,30,A,50.09,52.81,56.83,58.76,62.21,61.57,60.93,60.29,59.65,59.01,58.37,57.73,57.09,56.45
Standard,31,A,56.23,59.63,63.83,65.75,69.44,68.80,68.16,67.52,66.88,66.24,65.60,64.96,64.31,63.67
Standard,32,A,63.67,67.89,74.66,76.58,79.43,78.79,78.15,77.51,76.86,76.22,75.58,74.94,74.30,73.66
Standard,33,A,66.67,71.22,79.19,81.12,86.44,85.80,85.16,84.52,83.88,83.23,82.59,81.95,81.31,80.67
Standard,40,A,67.83,72.52,79.13,85.54,89.05,88.41,87.77,87.13,86.49,85.85,85.21,84.57,83.93,83.29
Standard,41,A,69.42,74.28,80.96,87.37,90.98,90.34,89.69,89.05,88.41,87.77,87.13,86.49,85.85,85.21
Standard,42,A,80.46,86.55,90.40,93.61,96.81,96.17,95.53,94.89,94.24,93.60,92.96,92.32,91.68,91.04
Standard,43,A,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01,115.01
Standard,44,A,85.77,92.45,103.02,112.64,115.84,115.20,114.56,113.92,113.28,112.64,112.00,111.36,110.71,110.07
Standard,45,A,107.57,116.67,123.08,129.50,129.49,126.93,124.37,121.80,119.24,116.67,114.11,111.55,108.98,106.42
Standard,46,A,119.20,119.20,125.61,132.02,132.02,132.02,132.02,132.02,132.02,132.02,132.02,132.02,132.02,132.02
Standard,47,A,88.22,95.17,106.18,116.19,119.52,119.38,119.24,119.10,118.95,118.81,118.67,118.53,118.39,118.25
