ConsignmentNumber,CustomerReference,CustomerReference2,ConsignmentType,AccountCode,CollectionName,CollectionAddress1,CollectionAddress2,CollectionTownCity,CollectionCounty,CollectionPostCode,CollectionCountry,CollectionIsResidential,CollectionDate,CollectionTime,CollectionContactName,CollectionPhone,CollectionSMS,CollectionEmailAddress,CollectionNoteLine1,CollectionNoteLine2,CollectionNoteLine3,CollectionNoteLine4,DeliveryName,DeliveryAddress1,DeliveryAddress2,DeliveryTownCity,DeliveryCounty,DeliveryPostCode,DeliveryCountry,DeliveryIsResidential,DeliveryDate,DeliveryTime,DeliveryContactName,DeliveryPhone,DeliverySMS,DeliveryEmailAddress,CustPaperworkRequired,DeliveryNoteLine1,DeliveryNoteLine2,DeliveryNoteLine3,DeliveryNoteLine4,TotalSpaces,TotalKilos,UnitCode,FullQ,HalfQ,HalfPlusQ,QuarterQ,MicroQ,ServiceCode,Surcharges,Surcharge1,Surcharge2,Surcharge3,Surcharge4,Surcharge5,AmazonASN,AmazonFBARef,AmazonBillOfLading,AmazonCartonCount,AmazonUnitCount,AmazonPORef
100,2506008398,,2,BOUSAP,Assisi Pet Care Limited,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,AMAZON DERBY EMA1,Unit 1,,Derby,,DE74 2BB,GBR,,2025-10-20,,AMAZON DERBY EMA1,,,,Y,LBL - BY 20TH - PL,Customer paperwork must be signed.,,,2,224,AZ,0,0,2,0,0,B,AZ,AZ,,,,,20842957743,,,1,1,88HNLA5I
101,SO33791,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,CAW,01829 260704,,,,,,,MATTHEW CLARK WHOLESALE,FOSSE LANE,,SOMERSET,,BA4 4PW,GBR,,2025-10-20,00:00,MATTHEW CLARK WHOLESALE,01749 334 200,,,Y,BK,Customer paperwork must be signed.,,,2,799,PL,0,2,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
102,SO33792,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,CAW,01829 260704,,,,,,,Freemans Event Partners,Quadrant Disribution Centre,,Gloucester (R),,GL2 2RN,GBR,,2025-10-20,12:00,Freemans Event Partners,0845 8994567,,,Y,23/06/2025 PCAW,Customer paperwork must be signed.,,,6,6301,PL,5,1,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
103,SO33811,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,CAW,01829 260704,,,,,,,DUNDEIS UK LTD TRADING FROM CO,UNIT 1 APOLLO RETAIL PARK,UNIVERSITY WAY,CREWE,,CW1 6HX,GBR,,2025-10-20,16:00,DUNDEIS UK LTD TRADING FROM CO,01270 758000,,,Y,DELIVER 23/6 PCAW,Customer paperwork must be signed.,,,1,707,PL,1,0,0,0,0,B,BD TL,BD,TL,,,,,,,0,0,
104,5134807310,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,COFFEE WORKS LTD,8 OTTER COURT,,EXETER (R),DEVON,EX2 8PF,GBR,,2025-10-20,12:00,COFFEE WORKS LTD,1392411613,,,Y,23/06/2025 PLAV,Customer paperwork must be signed.,,,1,121,PL,0,1,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
105,5134807246,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,COFFEE AND STUFF LTD,UNIT 10,,PIDDINGTON (PL) TL/WED,,HP14 3BE,GBR,,2025-10-20,12:00,COFFEE AND STUFF LTD,01628 478233,,,Y,23/06/2025 PLAV,Customer paperwork must be signed.,,,1,98,PL,0,0,0,1,0,B,AM TL,AM,TL,,,,,,,0,0,
106,5134807559,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,STRACHANS LTD,ADMIRALTY ROAD,,GREAT YARMOUTH,NORFOLK,NR30 3PU,GBR,,2025-10-20,12:00,STRACHANS LTD,01493 849 215,,,Y,23/06/2025 PLAV,Customer paperwork must be signed.,,,1,390,PL,1,0,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
107,5134807676,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,MANNVEND LIMITED,Unit B8A,,Heywood,LANCASHIRE,OL10 2TS,GBR,,2025-10-20,12:00,MANNVEND LIMITED,01624 661000,,,Y,DELIVER 23/6 PLAV,Customer paperwork must be signed.,,,1,113,PL,0,1,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
108,5134807672,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,Dollys 587,Selfridges & Co,,London (PL),,W1U 1LW,GBR,,2025-10-20,12:00,Dollys 587,2073183582,,,Y,23/06/2025 PLAV,Customer paperwork must be signed.,,,1,94,PL,0,1,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
109,5134806835,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LAV,01829 260704,,,,,,,BIDFOOD,LEIGH ROAD,,SLOUGH,BERKSHIRE,SL1 4BD,GBR,,2025-10-20,12:00,BIDFOOD,16284269550370,,,Y,23/06/2025 PLAV,Customer paperwork must be signed.,,,1,70,PL,1,0,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
110,MML2593896,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MML,01829 260704,,,,,,,CROWNDALE FOODSERVICES,UNIT 17 ASHVILLE WAY,,LEICESTER,,LE8 6NU,GBR,,2025-10-20,12:00,CROWNDALE FOODSERVICES,0116 288 5747,,,Y,,Customer paperwork must be signed.,,,1,956,PL,1,0,0,0,0,B,AM TL,AM,TL,,,,,,,0,0,
111,DEDICATED DELIVE,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,CAW,01829 260704,,,,,,,FAO Holly White,1 Priestley Way,,London,,E17 6AL,GBR,,2025-10-20,00:00,FAO Holly White,,,,Y,SENSITIVE,Customer paperwork must be signed.,,,1,225,PL,0,0,0,1,0,B,BK,BK,,,,,,,,0,0,
112,82186703,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,VNF,01829 260704,,,,,,,Inspire field Marketing,239 Torrington Avenue,,Coventry,,CV4 9AP,GBR,,2025-10-20,12:00,Inspire field Marketing,,,,Y,,Customer paperwork must be signed.,,,4,962,PL,0,1,3,0,0,B,AM,AM,,,,,,,,0,0,
113,2506008382,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,TOW,01829 260704,,,,,,,PEDIGREE WHOLESALE EAST,ANGLIAN LANE,,BURY ST EDMUNDS,SUFFOLK,IP32 6SR,GBR,,2025-10-20,00:00,PEDIGREE WHOLESALE EAST,01284 766163,,,Y,BY 24/6,Customer paperwork must be signed.,,,3,461,PL,2,1,0,0,0,B,BK,BK,,,,,,,,0,0,
114,MML2593820,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,MML,01829 260704,,,,,,,DAVID MILLER FROZEN FOODS LTD,COMMON ROAD,,YORK,,YO19 5PD,GBR,,2025-10-20,00:00,DAVID MILLER FROZEN FOODS LTD,1904650488,,,Y,BY 24/6,Customer paperwork must be signed.,,,2,956,PL,1,1,0,0,0,B,BK,BK,,,,,,,,0,0,
