id,brand,model,registration_plate,vin,production_year,type_of_truck,total_weight,pallet_capacity,max_payload_kg,is_active,created_at,updated_at,is_deleted
3," MERCEDES ATEGO",ATEGO,DG66 HRZ,****72001,2015,rigid,15000,12,7500,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:22.148Z,false
4,"18T ",FE,PN23 HTF,44840,2023,rigid,19500,16,9000,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:58.217Z,false
5,18TR,,BOUG HEY,,,tractor,28000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
7,44TA,,CVHUB01,,,tractor,28000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
6,44TA,,CVHUB02,,,tractor,0,0,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
8,7.5T,,WA65 BRW,,,tractor,0,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
9,ELEC,,PN72 HEV,,,tractor,7500,16,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
10,MERCEDES,Antos,DG66 HSA,73212,2016,rigid,18000,16,9000,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:31.474Z,false
11,MERCEDES 7.5,ATEGO,DH66 EEB,934911C0043786,2017,rigid,7490,10,1500,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:47.854Z,false
2,Scania,R450,GA 54321,,,tractor,,,,true,2025-10-07T07:24:39.049Z,2025-10-07T07:26:08.547Z,false
13,VOLVO,,PN21 KZT,,,tractor,24000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
14,VOLVO,,PN72 HJE,,,tractor,24000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
15,VOLVO,,PN21 LBF,,,tractor,24000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
16,VOLVO,,PN21 LCJ,,,tractor,24000,26,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
17,VOLVO,FH FH460 6X2T PA XHSL,PF72 GZP,....123,2023,tractor,,,,true,2025-10-07T07:26:08.547Z,2025-10-07T07:26:08.547Z,false
1,Volvo,FH,GD 12345,,,tractor,,,,true,2025-10-07T07:24:39.049Z,2025-10-07T07:26:08.547Z,false
